state, party
District of Columbia,Democratic
Puerto Rico, New Progressive
Georgia,Republican
Tennessee,Republican
Missouri,Republican
Kansas,Democratic
Alaska,Republican
Wisconsin,Democratic
Kentucky,Democratic
Maryland,Republican
Colorado,Democratic
Idaho,Republican
New Mexico,Democratic
New Hampshire,Republican
Minnesota,Democratic
Illinois,Democratic
Alabama,Republican
Oklahoma,Republican
Florida,Republican
Texas,Republican
Massachusetts,Republican
Rhode Island,Democratic
Vermont,Republican
South Carolina,Republican
Washington,Democratic
Connecticut,Democratic
New York,Democratic
South Dakota,Republican
Indiana,Republican
North Dakota,Republican
Oregon,Democratic
Pennsylvania,Democratic
Iowa,Republican
Virginia,Democratic
Ohio,Republican
Mississippi,Republican
California,Democratic
Utah,Republican
Louisiana,Democratic
Nevada,Democratic
Arizona,Republican
Wyoming,Republican
Delaware,Democratic
Michigan,Democratic
Hawaii,Democratic
Arkansas,Republican
New Jersey,Democratic
West Virginia,Republican
North Carolina,Democratic
Maine,Democratic
Montana,Democratic
Nebraska,Republican
